feature,importance
eTIV,0.77438724
SES,0.63020945
Age,0.5645178
nWBV,0.5218124
Age_nWBV,0.51903754
nWBV_diff,0.5181621
Brain_Ratio,0.34301683
M/F,0.1745342
ASF,0.16000374
EDUC,0.10906781
MMSE,0.10847004
Visit,0.09870658
MMSE_diff,0.06386027
MR Delay,0.063694075
