,Accuracy,Precision,Recall,F1-Score
XGBoost,0.8266666666666667,0.8411264720942141,0.8266666666666667,0.8084444444444443
Random Forest,0.7866666666666666,0.7087335359675785,0.7866666666666666,0.7428689370485037
Logistic Regression,0.76,0.7302260869565218,0.76,0.7395414462081129
Gradient Boosting,0.76,0.738929292929293,0.76,0.7358963330576234
SVM (RBF),0.76,0.710690537084399,0.76,0.7221953327571304
Decision Tree,0.7066666666666667,0.6906107226107226,0.7066666666666667,0.6947724145772927
